REGION,REGION_ABBR,YEAR,WEEK,EPIWEEK,% WEIGHTED ILI,% UNWEIGHTED ILI,ISSUE,RELEASE_DATE,NUM_PROVIDERS,NUM_PATIENTS,NUM_ILI,SOURCE
Oregon,OR,2013,40,2013W40,0.0904432,0.0904432,201740,2017-10-24,14,3317,3,Delphi Epidata fluview (sourced from CDC FluView)
Pennsylvania,PA,2013,40,2013W40,0.754364,0.754364,201740,2017-10-24,55,18161,137,Delphi Epidata fluview (sourced from CDC FluView)
Rhode Island,RI,2013,40,2013W40,0.0931677,0.0931677,201740,2017-10-24,20,6440,6,Delphi Epidata fluview (sourced from CDC FluView)
South Carolina,SC,2013,40,2013W40,0.272533,0.272533,201740,2017-10-24,15,5137,14,Delphi Epidata fluview (sourced from CDC FluView)
South Dakota,SD,2013,40,2013W40,0.672156,0.672156,201740,2017-10-24,24,5951,40,Delphi Epidata fluview (sourced from CDC FluView)
Tennessee,TN,2013,40,2013W40,0.292969,0.292969,201740,2017-10-24,52,10240,30,Delphi Epidata fluview (sourced from CDC FluView)
Texas,TX,2013,40,2013W40,2.2366,2.2366,201740,2017-10-24,120,42654,954,Delphi Epidata fluview (sourced from CDC FluView)
Utah,UT,2013,40,2013W40,1.16469,1.16469,201740,2017-10-24,44,17172,200,Delphi Epidata fluview (sourced from CDC FluView)
Virginia,VA,2013,40,2013W40,1.28394,1.28394,201740,2017-10-24,110,71187,914,Delphi Epidata fluview (sourced from CDC FluView)
Vermont,VT,2013,40,2013W40,1.77116,1.77116,201740,2017-10-24,11,3557,63,Delphi Epidata fluview (sourced from CDC FluView)
Washington,WA,2013,40,2013W40,0.569882,0.569882,201740,2017-10-24,16,7019,40,Delphi Epidata fluview (sourced from CDC FluView)
Wisconsin,WI,2013,40,2013W40,0.704887,0.704887,201740,2017-10-24,29,4256,30,Delphi Epidata fluview (sourced from CDC FluView)
West Virginia,WV,2013,40,2013W40,0.425137,0.425137,201740,2017-10-24,35,12937,55,Delphi Epidata fluview (sourced from CDC FluView)
Wyoming,WY,2013,40,2013W40,0.451778,0.451778,201740,2017-10-24,26,5091,23,Delphi Epidata fluview (sourced from CDC FluView)
Alaska,AK,2013,41,2013W41,0.838926,0.838926,201740,2017-10-24,8,1788,15,Delphi Epidata fluview (sourced from CDC FluView)
Alabama,AL,2013,41,2013W41,1.71352,1.71352,201740,2017-10-24,29,12664,217,Delphi Epidata fluview (sourced from CDC FluView)
Arkansas,AR,2013,41,2013W41,1.58351,1.58351,201740,2017-10-24,19,4610,73,Delphi Epidata fluview (sourced from CDC FluView)
Arizona,AZ,2013,41,2013W41,1.00148,1.00148,201740,2017-10-24,59,29057,291,Delphi Epidata fluview (sourced from CDC FluView)
California,CA,2013,41,2013W41,1.75269,1.75269,201740,2017-10-24,137,42449,744,Delphi Epidata fluview (sourced from CDC FluView)
Colorado,CO,2013,41,2013W41,0.618727,0.618727,201740,2017-10-24,11,21819,135,Delphi Epidata fluview (sourced from CDC FluView)
Connecticut,CT,2013,41,2013W41,0.765879,0.765879,201740,2017-10-24,28,7573,58,Delphi Epidata fluview (sourced from CDC FluView)
District of Columbia,DC,2013,41,2013W41,6.02353,6.02353,201740,2017-10-24,3,2125,128,Delphi Epidata fluview (sourced from CDC FluView)
Delaware,DE,2013,41,2013W41,0.0378215,0.0378215,201740,2017-10-24,11,2644,1,Delphi Epidata fluview (sourced from CDC FluView)
Georgia,GA,2013,41,2013W41,0.971469,0.971469,201740,2017-10-24,41,34278,333,Delphi Epidata fluview (sourced from CDC FluView)
Hawaii,HI,2013,41,2013W41,1.98556,1.98556,201740,2017-10-24,17,1662,33,Delphi Epidata fluview (sourced from CDC FluView)
Iowa,IA,2013,41,2013W41,0.198186,0.198186,201740,2017-10-24,21,35825,71,Delphi Epidata fluview (sourced from CDC FluView)
Idaho,ID,2013,41,2013W41,0.553385,0.553385,201740,2017-10-24,8,3072,17,Delphi Epidata fluview (sourced from CDC FluView)
Illinois,IL,2013,41,2013W41,1.52682,1.52682,201740,2017-10-24,107,61042,932,Delphi Epidata fluview (sourced from CDC FluView)
Indiana,IN,2013,41,2013W41,0.89906,0.89906,201740,2017-10-24,38,9788,88,Delphi Epidata fluview (sourced from CDC FluView)
Kansas,KS,2013,41,2013W41,0.600429,0.600429,201740,2017-10-24,32,6995,42,Delphi Epidata fluview (sourced from CDC FluView)
Kentucky,KY,2013,41,2013W41,0.168366,0.168366,201740,2017-10-24,16,20788,35,Delphi Epidata fluview (sourced from CDC FluView)
Massachusetts,MA,2013,41,2013W41,0.702243,0.702243,201740,2017-10-24,59,32325,227,Delphi Epidata fluview (sourced from CDC FluView)
Maryland,MD,2013,41,2013W41,0.985784,0.985784,201740,2017-10-24,17,9637,95,Delphi Epidata fluview (sourced from CDC FluView)
Maine,ME,2013,41,2013W41,0.554468,0.554468,201740,2017-10-24,33,6132,34,Delphi Epidata fluview (sourced from CDC FluView)
Michigan,MI,2013,41,2013W41,1.1484,1.1484,201740,2017-10-24,46,16806,193,Delphi Epidata fluview (sourced from CDC FluView)
Minnesota,MN,2013,41,2013W41,0.660264,0.660264,201740,2017-10-24,13,4998,33,Delphi Epidata fluview (sourced from CDC FluView)
Missouri,MO,2013,41,2013W41,1.32619,1.32619,201740,2017-10-24,23,7842,104,Delphi Epidata fluview (sourced from CDC FluView)
Mississippi,MS,2013,41,2013W41,2.88654,2.88654,201740,2017-10-24,42,17010,491,Delphi Epidata fluview (sourced from CDC FluView)
Montana,MT,2013,41,2013W41,0.113766,0.113766,201740,2017-10-24,8,2637,3,Delphi Epidata fluview (sourced from CDC FluView)
North Carolina,NC,2013,41,2013W41,0.867367,0.867367,201740,2017-10-24,56,17409,151,Delphi Epidata fluview (sourced from CDC FluView)
North Dakota,ND,2013,41,2013W41,0.0485909,0.0485909,201740,2017-10-24,10,2058,1,Delphi Epidata fluview (sourced from CDC FluView)
Nebraska,NE,2013,41,2013W41,0.76,0.76,201740,2017-10-24,15,2500,19,Delphi Epidata fluview (sourced from CDC FluView)
New Hampshire,NH,2013,41,2013W41,0.0736784,0.0736784,201740,2017-10-24,30,5429,4,Delphi Epidata fluview (sourced from CDC FluView)
New Jersey,NJ,2013,41,2013W41,1.49528,1.49528,201740,2017-10-24,26,11971,179,Delphi Epidata fluview (sourced from CDC FluView)
New Mexico,NM,2013,41,2013W41,1.81932,1.81932,201740,2017-10-24,28,11213,204,Delphi Epidata fluview (sourced from CDC FluView)
Nevada,NV,2013,41,2013W41,0.777235,0.777235,201740,2017-10-24,34,15954,124,Delphi Epidata fluview (sourced from CDC FluView)
New York,NY,2013,41,2013W41,1.304770824051427,1.304770824051427,201740,,201,109981,1435,Delphi Epidata fluview (sourced from CDC FluView)
Ohio,OH,2013,41,2013W41,0.646813,0.646813,201740,2017-10-24,46,14842,96,Delphi Epidata fluview (sourced from CDC FluView)
Oklahoma,OK,2013,41,2013W41,1.87829,1.87829,201740,2017-10-24,19,3993,75,Delphi Epidata fluview (sourced from CDC FluView)
Oregon,OR,2013,41,2013W41,0.151668,0.151668,201740,2017-10-24,13,3956,6,Delphi Epidata fluview (sourced from CDC FluView)
Pennsylvania,PA,2013,41,2013W41,0.826735,0.826735,201740,2017-10-24,52,17176,142,Delphi Epidata fluview (sourced from CDC FluView)
Rhode Island,RI,2013,41,2013W41,0.118143,0.118143,201740,2017-10-24,20,5925,7,Delphi Epidata fluview (sourced from CDC FluView)
South Carolina,SC,2013,41,2013W41,0.334804,0.334804,201740,2017-10-24,17,6571,22,Delphi Epidata fluview (sourced from CDC FluView)
South Dakota,SD,2013,41,2013W41,0.938385,0.938385,201740,2017-10-24,23,5648,53,Delphi Epidata fluview (sourced from CDC FluView)
Tennessee,TN,2013,41,2013W41,0.245376,0.245376,201740,2017-10-24,51,10596,26,Delphi Epidata fluview (sourced from CDC FluView)
Texas,TX,2013,41,2013W41,2.39646,2.39646,201740,2017-10-24,125,44983,1078,Delphi Epidata fluview (sourced from CDC FluView)
Utah,UT,2013,41,2013W41,1.29191,1.29191,201740,2017-10-24,45,20667,267,Delphi Epidata fluview (sourced from CDC FluView)
Virginia,VA,2013,41,2013W41,1.28999,1.28999,201740,2017-10-24,99,65582,846,Delphi Epidata fluview (sourced from CDC FluView)
Vermont,VT,2013,41,2013W41,1.84513,1.84513,201740,2017-10-24,10,3306,61,Delphi Epidata fluview (sourced from CDC FluView)
Washington,WA,2013,41,2013W41,0.469106,0.469106,201740,2017-10-24,16,7461,35,Delphi Epidata fluview (sourced from CDC FluView)
Wisconsin,WI,2013,41,2013W41,1.06082,1.06082,201740,2017-10-24,33,4242,45,Delphi Epidata fluview (sourced from CDC FluView)
